id,tag,timestamp,value
1,episode reward,1.6716E+12,-779.2362061
2,episode reward,1.6716E+12,-804.9291992
3,episode reward,1.6716E+12,-884.7996826
4,episode reward,1.6716E+12,-851.2700806
5,episode reward,1.6716E+12,-878.2363281
6,episode reward,1.6716E+12,-937.2930908
7,episode reward,1.6716E+12,-866.5615845
8,episode reward,1.6716E+12,-875.1582642
9,episode reward,1.6716E+12,-820.6585083
10,episode reward,1.6716E+12,-734.029541
11,episode reward,1.6716E+12,-963.7711792
12,episode reward,1.6716E+12,-825.685791
13,episode reward,1.6716E+12,-892.7905884
14,episode reward,1.6716E+12,-910.7661133
15,episode reward,1.6716E+12,-795.9771729
16,episode reward,1.6716E+12,-797.8739014
17,episode reward,1.6716E+12,-886.1893921
18,episode reward,1.6716E+12,-910.7321167
19,episode reward,1.6716E+12,-809.1415405
20,episode reward,1.6716E+12,-896.8929443
21,episode reward,1.6716E+12,-880.4353027
22,episode reward,1.6716E+12,-872.8373413
23,episode reward,1.6716E+12,-848.8588867
24,episode reward,1.6716E+12,-856.2647705
25,episode reward,1.6716E+12,-937.0139771
26,episode reward,1.6716E+12,-887.2313843
27,episode reward,1.6716E+12,-820.1790161
28,episode reward,1.6716E+12,-873.5630493
29,episode reward,1.6716E+12,-641.1166992
30,episode reward,1.6716E+12,-664.7907715
31,episode reward,1.6716E+12,-854.8925171
32,episode reward,1.6716E+12,-857.6723633
33,episode reward,1.6716E+12,-762.4785156
34,episode reward,1.6716E+12,-812.1245728
35,episode reward,1.6716E+12,-778.1531982
36,episode reward,1.6716E+12,-409.4344177
37,episode reward,1.6716E+12,-423.1790466
38,episode reward,1.6716E+12,-657.3359375
39,episode reward,1.6716E+12,-808.2056274
40,episode reward,1.6716E+12,-843.7384644
41,episode reward,1.6716E+12,-778.0854492
42,episode reward,1.6716E+12,-739.1646118
43,episode reward,1.6716E+12,-735.0722656
44,episode reward,1.6716E+12,-642.7877197
45,episode reward,1.6716E+12,-354.7746277
46,episode reward,1.6716E+12,-406.9249573
47,episode reward,1.6716E+12,-335.270813
48,episode reward,1.6716E+12,-381.2006531
49,episode reward,1.6716E+12,-336.6312866
50,episode reward,1.6716E+12,-350.6661377
51,episode reward,1.6716E+12,-312.9423523
52,episode reward,1.6716E+12,-322.5648499
53,episode reward,1.6716E+12,-357.8078613
54,episode reward,1.6716E+12,-326.5874939
55,episode reward,1.6716E+12,-358.0066833
56,episode reward,1.6716E+12,-339.6409912
57,episode reward,1.6716E+12,-304.7659912
58,episode reward,1.6716E+12,-351.775238
59,episode reward,1.6716E+12,-328.1294556
60,episode reward,1.6716E+12,-242.4080963
61,episode reward,1.6716E+12,-310.4120178
62,episode reward,1.6716E+12,-298.090271
63,episode reward,1.6716E+12,-292.7946167
64,episode reward,1.6716E+12,-298.1030273
65,episode reward,1.6716E+12,-316.1620789
66,episode reward,1.6716E+12,-297.9636841
67,episode reward,1.6716E+12,-341.7316589
68,episode reward,1.6716E+12,-309.307373
69,episode reward,1.6716E+12,-319.9412231
70,episode reward,1.6716E+12,-279.0401306
71,episode reward,1.6716E+12,-325.0777283
72,episode reward,1.6716E+12,-345.3040771
73,episode reward,1.6716E+12,-308.3985596
74,episode reward,1.6716E+12,-269.9270325
75,episode reward,1.6716E+12,-245.7454681
76,episode reward,1.6716E+12,-319.2744751
77,episode reward,1.6716E+12,-318.7870178
78,episode reward,1.6716E+12,-299.8197937
79,episode reward,1.6716E+12,-280.2896118
80,episode reward,1.6716E+12,-305.1751404
81,episode reward,1.6716E+12,-324.4876709
82,episode reward,1.6716E+12,-327.2224121
83,episode reward,1.6716E+12,-316.6122131
84,episode reward,1.6716E+12,-308.6289368
85,episode reward,1.6716E+12,-253.7403717
86,episode reward,1.6716E+12,-295.381134
87,episode reward,1.6716E+12,-301.7485657
88,episode reward,1.6716E+12,-315.5463867
89,episode reward,1.6716E+12,-229.9399719
90,episode reward,1.6716E+12,-215.6377258
91,episode reward,1.6716E+12,-225.3657074
92,episode reward,1.6716E+12,-222.3522491
93,episode reward,1.6716E+12,-191.4070129
94,episode reward,1.6716E+12,-226.2749023
95,episode reward,1.6716E+12,-191.1872711
96,episode reward,1.6716E+12,-196.8792725
