id,tag,timestamp,value
0,episode reward,1.67204E+12,-922.3007202
1,episode reward,1.67204E+12,-983.1578369
2,episode reward,1.67204E+12,-848.8207397
3,episode reward,1.67204E+12,-905.8084106
4,episode reward,1.67204E+12,-814.5755615
5,episode reward,1.67204E+12,-878.3552246
6,episode reward,1.67204E+12,-933.062561
7,episode reward,1.67204E+12,-814.2667236
8,episode reward,1.67204E+12,-781.961731
9,episode reward,1.67204E+12,-889.2028809
10,episode reward,1.67204E+12,-806.5471802
11,episode reward,1.67204E+12,-838.427002
12,episode reward,1.67204E+12,-839.1567993
13,episode reward,1.67204E+12,-858.1594849
14,episode reward,1.67204E+12,-835.1143799
15,episode reward,1.67204E+12,-968.199707
16,episode reward,1.67204E+12,-825.3099976
17,episode reward,1.67204E+12,-802.2513428
18,episode reward,1.67204E+12,-851.5159912
19,episode reward,1.67204E+12,-871.9533081
20,episode reward,1.67204E+12,-875.5142822
21,episode reward,1.67204E+12,-956.5030518
22,episode reward,1.67204E+12,-901.1321411
23,episode reward,1.67204E+12,-873.7064819
24,episode reward,1.67204E+12,-856.9298706
25,episode reward,1.67204E+12,-879.1046753
26,episode reward,1.67204E+12,-893.6616211
27,episode reward,1.67204E+12,-929.3203125
28,episode reward,1.67204E+12,-842.3312988
29,episode reward,1.67204E+12,-984.7503662
30,episode reward,1.67204E+12,-797.7304688
31,episode reward,1.67204E+12,-960.6567383
32,episode reward,1.67204E+12,-892.770874
33,episode reward,1.67204E+12,-921.4215088
34,episode reward,1.67204E+12,-833.6437988
35,episode reward,1.67204E+12,-860.1277466
36,episode reward,1.67204E+12,-910.0265503
37,episode reward,1.67204E+12,-776.6728516
38,episode reward,1.67204E+12,-929.0100708
39,episode reward,1.67204E+12,-881.5491333
40,episode reward,1.67204E+12,-856.9494629
41,episode reward,1.67204E+12,-871.6340332
42,episode reward,1.67204E+12,-963.1864014
43,episode reward,1.67204E+12,-822.8760376
44,episode reward,1.67204E+12,-883.0216675
45,episode reward,1.67204E+12,-805.3314209
46,episode reward,1.67204E+12,-878.0025024
