D2SAC,DSAC,DDPG,A3C,,
-779.2362061,-774.727356,-719.616272,-922.3007202,,
-804.9291992,-776.8081665,-771.1988525,-983.1578369,,
-884.7996826,-862.456665,-817.2835083,-848.8207397,,
-851.2700806,-853.6594238,-796.7748413,-905.8084106,,
-878.2363281,-860.2787476,-755.7435913,-814.5755615,,
-937.2930908,-849.1645508,-769.3606567,-878.3552246,,
-866.5615845,-859.4291992,-795.1010742,-933.062561,,
-875.1582642,-730.5487061,-758.324646,-814.2667236,,
-820.6585083,-803.9824219,-742.3646851,-781.961731,,
-734.029541,-741.3480835,-752.5180054,-889.2028809,,
-963.7711792,-904.5671997,-759.7376709,-806.5471802,,
-825.685791,-877.0617065,-777.3169556,-838.427002,,
-892.7905884,-939.9749146,-742.6089478,-839.1567993,,
-910.7661133,-888.0924683,-731.0840454,-858.1594849,,
-795.9771729,-851.3676758,-760.3842163,-835.1143799,,
-797.8739014,-802.0907593,-688.0620728,-968.199707,,
-886.1893921,-803.3522949,-805.9709473,-825.3099976,,
-910.7321167,-827.4380493,-905.56604,-802.2513428,,
-809.1415405,-865.3851929,-777.013855,-851.5159912,,
-896.8929443,-831.3092651,-728.2556763,-871.9533081,,
-880.4353027,-775.4199219,-791.843811,-875.5142822,,
-872.8373413,-764.7103271,-788.4069824,-956.5030518,,
-848.8588867,-815.2285767,-786.6663818,-901.1321411,,
-856.2647705,-822.1219482,-820.0715942,-873.7064819,,
-937.0139771,-807.147522,-721.6508179,-856.9298706,,
-887.2313843,-782.3439941,-666.5597534,-879.1046753,,
-820.1790161,-839.7130737,-666.211731,-893.6616211,,
-873.5630493,-809.9195557,-771.2821045,-929.3203125,,
-641.1166992,-398.5923157,-693.7590332,-842.3312988,,
-664.7907715,-844.3491821,-736.0686646,-984.7503662,,
-854.8925171,-798.8104248,-771.2271729,-797.7304688,,
-857.6723633,-626.4013062,-745.6270142,-960.6567383,,
-762.4785156,-879.348938,-779.3619995,-892.770874,,
-812.1245728,-820.914917,-722.831604,-921.4215088,,
-778.1531982,-903.2937012,-674.423584,-833.6437988,,
-409.4344177,-807.4633789,-802.1560059,-860.1277466,,
-423.1790466,-892.9144287,-760.3869019,-910.0265503,,
-657.3359375,-905.8931274,-783.8289795,-776.6728516,,
-808.2056274,-944.4014893,-707.37854,-929.0100708,,
-843.7384644,-814.3728638,-846.3154907,-881.5491333,,
-778.0854492,-886.468811,-739.3407593,-856.9494629,,
-739.1646118,-775.7639771,-783.9992065,-871.6340332,,
-735.0722656,-786.317688,-809.5496826,-963.1864014,,
-642.7877197,-742.486084,-735.5644531,-822.8760376,,
-354.7746277,-693.9472046,-780.0469971,-883.0216675,,
-406.9249573,-782.4859009,-856.585144,-805.3314209,,
-335.270813,-723.0683594,-769.0532227,-878.0025024,,
-381.2006531,-691.5522461,-743.7962646,-874.8705444,,
-336.6312866,-605.7528076,-727.7182007,-907.2960815,,
-350.6661377,-760.6831665,-719.5921631,-963.2159424,,
-312.9423523,-770.2973022,-663.8011475,-904.8348389,,
-322.5648499,-829.7318115,-795.3839111,-893.5978394,,
-357.8078613,-794.1641846,-825.1412964,-773.557373,,
-326.5874939,-788.0592041,-800.3284302,-920.8187866,,
-358.0066833,-870.0496216,-665.9465942,-908.4494629,,
-339.6409912,-890.0449219,-778.6029663,-798.6049194,,
-304.7659912,-780.7700195,-778.3589478,-861.6992188,,
-351.775238,-847.4492188,-717.3277588,-872.8865967,,
